Date,Day,Time,Crime_Type,Lighting,Police_Presence,Crowd_Presence,Risk_Score,Risk_Level,Latitude,Longitude
05-09-2025,Friday,22:36,Assault,Moderate,Medium,Low,72,Unsafe,28.473166,77.504735
07-11-2025,Friday,16:30,Other,Poor,Medium,Medium,48,Moderate,28.472378,77.497361
24-10-2025,Friday,14:56,Burglary,Poor,Medium,Low,67,Unsafe,28.474058,77.507066
19-08-2025,Tuesday,04:54,Burglary,Moderate,Medium,Medium,64,Unsafe,28.471683,77.508913
25-09-2025,Thursday,13:45,Theft,Poor,Medium,High,47,Moderate,28.468858,77.489697
10-06-2025,Tuesday,12:30,Robbery,Good,Medium,Low,56,Moderate,28.457596,77.502692
13-05-2025,Tuesday,19:39,Harassment,Good,High,Medium,41,Moderate,28.476235,77.48849
20-04-2025,Sunday,17:01,Harassment,Good,High,Medium,36,Moderate,28.474336,77.511349
08-11-2025,Saturday,10:54,Other,Moderate,High,Medium,35,Moderate,28.461078,77.487571
08-08-2025,Friday,15:39,Robbery,Poor,Medium,Medium,63,Unsafe,28.464397,77.510033
03-11-2025,Monday,10:16,Assault,Good,High,Medium,49,Moderate,28.476872,77.489956
08-01-2026,Thursday,18:41,Assault,Poor,Low,Medium,76,Unsafe,28.457371,77.490572
07-09-2025,Sunday,08:55,Robbery,Moderate,High,High,46,Moderate,28.467378,77.509241
19-05-2025,Monday,03:47,Assault,Good,High,Medium,59,Moderate,28.468489,77.505113
11-05-2025,Sunday,17:09,Other,Poor,High,Low,48,Moderate,28.463291,77.497531
11-05-2025,Sunday,00:38,Harassment,Moderate,Medium,High,54,Moderate,28.477535,77.510753
15-07-2025,Tuesday,10:41,Theft,Poor,High,High,41,Moderate,28.478071,77.510605
06-10-2025,Monday,15:02,Assault,Good,Low,Low,69,Unsafe,28.467987,77.488716
10-05-2025,Saturday,21:45,Harassment,Poor,High,High,50,Moderate,28.455938,77.489626
28-04-2025,Monday,22:33,Assault,Moderate,Low,High,70,Unsafe,28.45811,77.507416
07-04-2026,Tuesday,07:02,Theft,Good,Low,High,42,Moderate,28.463045,77.497828
31-03-2026,Tuesday,08:02,Harassment,Moderate,High,High,38,Moderate,28.479473,77.50642
04-04-2026,Saturday,21:02,Harassment,Poor,Low,Medium,68,Unsafe,28.474347,77.488269
19-04-2025,Saturday,23:12,Assault,Poor,Medium,Medium,73,Unsafe,28.470284,77.493138
23-08-2025,Saturday,14:01,Harassment,Poor,Medium,Medium,55,Moderate,28.466344,77.488391
23-11-2025,Sunday,11:08,Harassment,Moderate,Medium,High,44,Moderate,28.464893,77.5107
24-12-2025,Wednesday,17:59,Theft,Good,Low,High,42,Moderate,28.467077,77.492477
28-06-2025,Saturday,12:07,Robbery,Moderate,Low,Medium,64,Unsafe,28.467486,77.491756
07-11-2025,Friday,11:49,Burglary,Good,Low,Medium,56,Moderate,28.471465,77.488701
20-01-2026,Tuesday,12:51,Assault,Poor,High,Low,68,Unsafe,28.467835,77.486431
29-01-2026,Thursday,21:09,Burglary,Moderate,Low,High,63,Unsafe,28.470995,77.508644
01-10-2025,Wednesday,23:46,Burglary,Moderate,Medium,High,55,Moderate,28.461253,77.511442
05-12-2025,Friday,10:34,Theft,Good,High,High,28,Safe,28.471063,77.490066
23-11-2025,Sunday,04:44,Theft,Good,Medium,Low,54,Moderate,28.458719,77.509013
03-09-2025,Wednesday,12:08,Burglary,Poor,Low,High,65,Unsafe,28.45958,77.51181
16-11-2025,Sunday,04:46,Other,Moderate,High,Low,51,Moderate,28.473425,77.488156
28-03-2026,Saturday,10:51,Burglary,Good,High,Medium,42,Moderate,28.479231,77.496535
30-11-2025,Sunday,10:03,Robbery,Moderate,Medium,Low,62,Unsafe,28.474652,77.491018
18-07-2025,Friday,13:33,Assault,Poor,High,Low,68,Unsafe,28.471792,77.490919
11-02-2026,Wednesday,03:39,Other,Poor,Medium,High,54,Moderate,28.465428,77.489848
11-12-2025,Thursday,15:05,Assault,Good,Medium,Medium,55,Moderate,28.474267,77.512382
28-06-2025,Saturday,12:01,Robbery,Poor,High,High,53,Moderate,28.466665,77.507058
05-04-2026,Sunday,02:48,Assault,Poor,Medium,Low,84,Unsafe,28.455752,77.493853
19-05-2025,Monday,10:50,Other,Poor,High,High,38,Moderate,28.469181,77.490319
25-05-2025,Sunday,00:29,Harassment,Poor,High,Medium,59,Moderate,28.475839,77.501437
17-08-2025,Sunday,19:20,Robbery,Poor,Medium,Medium,68,Unsafe,28.479725,77.504889
23-09-2025,Tuesday,05:22,Burglary,Good,Low,Medium,66,Unsafe,28.457335,77.51416
11-09-2025,Thursday,20:00,Harassment,Moderate,Low,Medium,61,Unsafe,28.473358,77.504095
27-06-2025,Friday,00:24,Harassment,Good,Medium,Medium,52,Moderate,28.466915,77.506411
30-10-2025,Thursday,06:02,Theft,Poor,High,Low,51,Moderate,28.464488,77.512447
11-11-2025,Tuesday,09:07,Theft,Good,Low,Low,52,Moderate,28.463127,77.511375
26-01-2026,Monday,20:31,Assault,Moderate,Medium,High,62,Unsafe,28.456402,77.502904
05-03-2026,Thursday,03:27,Burglary,Moderate,Medium,Low,70,Unsafe,28.457736,77.495222
10-03-2026,Tuesday,20:28,Other,Moderate,Low,High,50,Moderate,28.458129,77.500995
26-02-2026,Thursday,12:03,Burglary,Poor,Medium,Medium,61,Unsafe,28.461259,77.504571
10-12-2025,Wednesday,18:00,Robbery,Moderate,High,Low,56,Moderate,28.463155,77.495628
31-12-2025,Wednesday,07:13,Assault,Good,Low,Low,69,Unsafe,28.471219,77.509737
02-01-2026,Friday,12:26,Robbery,Good,Low,Medium,58,Moderate,28.471649,77.51269
15-03-2026,Sunday,20:43,Robbery,Moderate,Low,Low,75,Unsafe,28.457251,77.512984
08-01-2026,Thursday,01:03,Other,Moderate,Low,Medium,59,Moderate,28.462206,77.487815
14-06-2025,Saturday,22:30,Harassment,Good,High,Low,47,Moderate,28.462247,77.512673
22-02-2026,Sunday,07:18,Harassment,Moderate,High,High,38,Moderate,28.468056,77.503064
25-02-2026,Wednesday,11:35,Robbery,Moderate,High,Low,56,Moderate,28.46753,77.5004
18-10-2025,Saturday,13:38,Other,Moderate,Low,Medium,49,Moderate,28.471809,77.507259
24-11-2025,Monday,22:40,Harassment,Poor,Medium,Low,66,Unsafe,28.475234,77.510793
03-07-2025,Thursday,06:54,Theft,Poor,High,Low,51,Moderate,28.458592,77.491939
07-12-2025,Sunday,06:48,Assault,Poor,High,Low,68,Unsafe,28.460972,77.490814
25-07-2025,Friday,19:38,Assault,Poor,Low,High,77,Unsafe,28.467153,77.48717
27-10-2025,Monday,20:09,Theft,Good,High,Low,43,Moderate,28.466634,77.496364
16-05-2025,Friday,17:16,Burglary,Good,Medium,Medium,48,Moderate,28.472572,77.4938
04-02-2026,Wednesday,07:40,Robbery,Good,Medium,High,46,Moderate,28.476532,77.496217
02-12-2025,Tuesday,05:36,Burglary,Good,Low,High,62,Unsafe,28.46836,77.511368
07-02-2026,Saturday,02:35,Burglary,Good,Low,High,62,Unsafe,28.463787,77.50891
18-06-2025,Wednesday,02:58,Robbery,Moderate,High,Low,66,Unsafe,28.471717,77.487683
19-05-2025,Monday,23:40,Assault,Moderate,Medium,Low,72,Unsafe,28.464917,77.507267
23-08-2025,Saturday,04:37,Burglary,Poor,Medium,High,67,Unsafe,28.475345,77.498452
26-04-2025,Saturday,12:49,Burglary,Moderate,Low,Medium,62,Unsafe,28.458562,77.510235
22-01-2026,Thursday,12:25,Burglary,Moderate,Low,Medium,62,Unsafe,28.45743,77.508355
16-10-2025,Thursday,20:14,Other,Poor,Low,Medium,61,Unsafe,28.46605,77.505238
27-09-2025,Saturday,19:35,Assault,Poor,High,Medium,67,Unsafe,28.459053,77.507414
04-02-2026,Wednesday,10:04,Harassment,Good,Medium,Low,48,Moderate,28.473738,77.495902
14-12-2025,Sunday,11:23,Harassment,Poor,Low,Medium,63,Unsafe,28.455722,77.512948
07-08-2025,Thursday,18:46,Theft,Poor,Low,Low,65,Unsafe,28.479586,77.497238
19-06-2025,Thursday,20:24,Harassment,Good,High,High,37,Moderate,28.479786,77.488851
29-06-2025,Sunday,20:43,Harassment,Moderate,Medium,High,49,Moderate,28.473753,77.513454
08-08-2025,Friday,09:09,Theft,Good,High,Low,38,Moderate,28.45991,77.507246
25-01-2026,Sunday,01:49,Assault,Poor,High,Medium,72,Unsafe,28.461256,77.492533
02-02-2026,Monday,18:44,Robbery,Poor,Low,Medium,71,Unsafe,28.474658,77.506745
18-11-2025,Tuesday,15:15,Other,Moderate,Low,Low,55,Moderate,28.469338,77.510146
05-06-2025,Thursday,18:47,Theft,Good,High,Medium,32,Moderate,28.461468,77.505154
15-09-2025,Monday,16:26,Harassment,Good,Medium,High,38,Moderate,28.475426,77.512584
23-03-2026,Monday,02:39,Harassment,Good,Low,Low,66,Unsafe,28.4691,77.50676
12-09-2025,Friday,09:58,Harassment,Good,High,High,32,Moderate,28.468295,77.512915
03-03-2026,Tuesday,02:12,Burglary,Moderate,Medium,Low,70,Unsafe,28.458241,77.494555
06-02-2026,Friday,05:06,Assault,Good,Medium,Medium,65,Unsafe,28.471216,77.498855
27-05-2025,Tuesday,21:04,Assault,Good,High,Medium,54,Moderate,28.472885,77.488411
24-03-2026,Tuesday,04:23,Assault,Good,Low,Medium,73,Unsafe,28.473072,77.50143
30-11-2025,Sunday,20:35,Other,Moderate,High,Medium,40,Moderate,28.470017,77.503389
01-07-2025,Tuesday,01:10,Assault,Moderate,Medium,High,67,Unsafe,28.460044,77.510094
01-02-2026,Sunday,00:55,Robbery,Moderate,Medium,Low,72,Unsafe,28.456968,77.50926
01-09-2025,Monday,22:32,Other,Good,High,Low,40,Moderate,28.475142,77.513518
15-07-2025,Tuesday,05:40,Assault,Moderate,High,High,61,Unsafe,28.458064,77.49401
30-10-2025,Thursday,03:52,Robbery,Good,Low,Medium,68,Unsafe,28.458979,77.498085
29-12-2025,Monday,16:33,Theft,Good,High,Low,38,Moderate,28.479423,77.500163
30-10-2025,Thursday,13:50,Theft,Moderate,Low,High,48,Moderate,28.478946,77.498322
06-08-2025,Wednesday,22:36,Burglary,Good,High,High,43,Moderate,28.476998,77.509581
25-06-2025,Wednesday,05:52,Other,Poor,Medium,High,54,Moderate,28.468797,77.507045
29-05-2025,Thursday,15:58,Theft,Good,Medium,High,34,Moderate,28.472632,77.510046
09-02-2026,Monday,08:51,Burglary,Moderate,Low,Low,68,Unsafe,28.463436,77.49458
28-10-2025,Tuesday,23:14,Assault,Poor,Medium,Medium,73,Unsafe,28.458942,77.514106
15-03-2026,Sunday,07:12,Robbery,Moderate,Low,Low,70,Unsafe,28.462089,77.503805
15-08-2025,Friday,02:31,Burglary,Moderate,Medium,Low,70,Unsafe,28.467171,77.510907
18-08-2025,Monday,03:13,Burglary,Moderate,Low,High,68,Unsafe,28.47328,77.491699
25-08-2025,Monday,23:28,Other,Good,High,Medium,34,Moderate,28.472829,77.510271
13-08-2025,Wednesday,05:43,Other,Moderate,High,High,41,Moderate,28.46036,77.491489
25-02-2026,Wednesday,11:39,Burglary,Poor,High,Medium,55,Moderate,28.467818,77.493991
09-05-2025,Friday,23:40,Other,Poor,Medium,Low,59,Moderate,28.456831,77.498997
25-06-2025,Wednesday,17:37,Assault,Poor,Low,High,72,Unsafe,28.474731,77.510984
08-09-2025,Monday,18:53,Burglary,Poor,High,High,51,Moderate,28.471599,77.49011
10-01-2026,Saturday,09:35,Robbery,Moderate,Medium,High,52,Moderate,28.46379,77.50156
03-07-2025,Thursday,13:18,Robbery,Poor,Medium,Low,69,Unsafe,28.469677,77.499584
21-03-2026,Saturday,14:32,Robbery,Moderate,Medium,Low,62,Unsafe,28.456016,77.508896
22-07-2025,Tuesday,07:19,Theft,Moderate,Low,Medium,52,Moderate,28.458544,77.505701
11-11-2025,Tuesday,06:21,Burglary,Poor,Medium,Medium,61,Unsafe,28.475074,77.502341
12-02-2026,Thursday,16:22,Assault,Good,Medium,Medium,55,Moderate,28.475498,77.498456
27-05-2025,Tuesday,15:54,Other,Poor,Medium,Low,54,Moderate,28.477751,77.501109
15-07-2025,Tuesday,09:03,Other,Good,Medium,Low,41,Moderate,28.46285,77.488522
29-03-2026,Sunday,19:02,Theft,Poor,Medium,Medium,56,Moderate,28.468916,77.489103
09-01-2026,Friday,09:07,Burglary,Good,Low,Low,62,Unsafe,28.469651,77.512345
03-10-2025,Friday,06:15,Robbery,Moderate,Medium,Medium,56,Moderate,28.466958,77.506784
04-08-2025,Monday,13:35,Robbery,Poor,High,Low,63,Unsafe,28.462287,77.507084
20-10-2025,Monday,22:45,Assault,Poor,High,Low,73,Unsafe,28.455244,77.497302
01-04-2026,Wednesday,10:53,Theft,Moderate,Medium,Medium,44,Moderate,28.458867,77.505507
16-03-2026,Monday,23:23,Assault,Moderate,Low,Low,80,Unsafe,28.466316,77.498675
10-02-2026,Tuesday,10:00,Other,Good,Low,Low,49,Moderate,28.460589,77.50046
27-10-2025,Monday,06:49,Harassment,Good,Low,Low,56,Moderate,28.468706,77.497832
20-10-2025,Monday,18:43,Burglary,Poor,Medium,Low,67,Unsafe,28.469577,77.506094
10-03-2026,Tuesday,15:11,Theft,Moderate,High,Medium,38,Moderate,28.458423,77.503998
15-10-2025,Wednesday,03:08,Robbery,Poor,High,Medium,67,Unsafe,28.468964,77.499165
10-07-2025,Thursday,20:27,Robbery,Poor,Low,High,72,Unsafe,28.468871,77.488501
07-03-2026,Saturday,03:48,Burglary,Moderate,Medium,Medium,64,Unsafe,28.464862,77.499295
07-03-2026,Saturday,07:26,Burglary,Poor,Medium,High,57,Moderate,28.456955,77.512062
24-03-2026,Tuesday,11:17,Harassment,Good,Low,Medium,50,Moderate,28.464572,77.48844
21-11-2025,Friday,06:04,Theft,Good,Medium,Medium,38,Moderate,28.474421,77.506268
26-12-2025,Friday,10:27,Harassment,Poor,Low,High,59,Moderate,28.47198,77.499148
12-09-2025,Friday,00:35,Theft,Moderate,Medium,High,50,Moderate,28.463861,77.490306
18-03-2026,Wednesday,07:06,Assault,Moderate,Low,Medium,69,Unsafe,28.458236,77.497302
22-05-2025,Thursday,13:14,Other,Moderate,Medium,Low,47,Moderate,28.475709,77.505898
18-01-2026,Sunday,00:37,Harassment,Poor,Low,High,69,Unsafe,28.47204,77.486133
22-01-2026,Thursday,13:09,Theft,Moderate,High,Medium,38,Moderate,28.467925,77.492193
14-09-2025,Sunday,22:59,Theft,Poor,High,Low,56,Moderate,28.467566,77.499817
14-04-2025,Monday,15:33,Assault,Good,Low,High,59,Moderate,28.46169,77.50344
28-08-2025,Thursday,09:05,Burglary,Poor,Low,Medium,69,Unsafe,28.476417,77.49267
30-07-2025,Wednesday,01:34,Assault,Moderate,High,Medium,65,Unsafe,28.457645,77.505712
06-10-2025,Monday,04:06,Harassment,Moderate,Low,Medium,66,Unsafe,28.463633,77.50194
06-01-2026,Tuesday,19:05,Other,Good,Low,High,44,Moderate,28.473337,77.500577
16-09-2025,Tuesday,14:36,Burglary,Good,Low,High,52,Moderate,28.461915,77.499209
10-11-2025,Monday,21:20,Theft,Good,Low,High,47,Moderate,28.457526,77.491212
15-08-2025,Friday,19:16,Harassment,Poor,Medium,Medium,60,Moderate,28.46319,77.497652
08-07-2025,Tuesday,23:46,Burglary,Poor,Medium,Medium,66,Unsafe,28.461832,77.512042
07-10-2025,Tuesday,19:16,Harassment,Good,Medium,High,43,Moderate,28.47131,77.513008
20-08-2025,Wednesday,17:14,Assault,Poor,High,Low,68,Unsafe,28.471904,77.493275
02-03-2026,Monday,09:10,Robbery,Poor,Low,Medium,71,Unsafe,28.476924,77.506754
06-11-2025,Thursday,22:03,Other,Good,Medium,Low,46,Moderate,28.469211,77.500599
15-12-2025,Monday,03:12,Assault,Moderate,Low,Medium,79,Unsafe,28.464462,77.511882
05-10-2025,Sunday,10:08,Burglary,Good,High,High,38,Moderate,28.468143,77.510017
30-11-2025,Sunday,22:28,Assault,Moderate,High,High,56,Moderate,28.472227,77.509729
08-07-2025,Tuesday,19:27,Harassment,Poor,High,High,50,Moderate,28.471101,77.496908
09-06-2025,Monday,20:20,Burglary,Good,Low,High,57,Moderate,28.46702,77.498317
10-04-2025,Thursday,09:41,Robbery,Poor,Medium,Medium,63,Unsafe,28.463818,77.502767
01-12-2025,Monday,13:22,Assault,Moderate,High,Low,61,Unsafe,28.458064,77.504156
04-10-2025,Saturday,17:42,Robbery,Moderate,Low,High,60,Moderate,28.467931,77.49093
30-01-2026,Friday,03:33,Other,Moderate,High,High,41,Moderate,28.474082,77.494552
11-01-2026,Sunday,18:32,Assault,Moderate,Medium,Medium,61,Unsafe,28.457472,77.503716
08-10-2025,Wednesday,04:52,Burglary,Good,Low,Medium,66,Unsafe,28.479728,77.492389
21-02-2026,Saturday,07:05,Theft,Moderate,Low,Low,58,Moderate,28.460371,77.492609
18-01-2026,Sunday,04:48,Robbery,Good,Low,Low,74,Unsafe,28.461395,77.486411
06-04-2026,Monday,20:21,Harassment,Poor,Medium,Medium,60,Moderate,28.46648,77.494679
01-09-2025,Monday,02:20,Assault,Good,High,Low,65,Unsafe,28.477562,77.506383
22-04-2025,Tuesday,03:42,Assault,Poor,Medium,Medium,78,Unsafe,28.456041,77.506783
19-05-2025,Monday,10:53,Harassment,Poor,Low,High,59,Moderate,28.4678,77.502216
05-10-2025,Sunday,14:12,Theft,Moderate,Medium,Medium,44,Moderate,28.474284,77.49261
12-02-2026,Thursday,10:02,Assault,Poor,High,Low,68,Unsafe,28.472639,77.50024
14-04-2025,Monday,20:46,Harassment,Moderate,High,High,43,Moderate,28.476173,77.507653
15-01-2026,Thursday,13:38,Assault,Good,Low,Medium,63,Unsafe,28.477417,77.510776
23-03-2026,Monday,15:26,Other,Poor,Low,High,52,Moderate,28.468612,77.510673
07-05-2025,Wednesday,23:48,Other,Moderate,High,High,36,Moderate,28.473327,77.506551
22-02-2026,Sunday,14:02,Assault,Good,High,High,45,Moderate,28.475578,77.491272
04-09-2025,Thursday,09:52,Robbery,Moderate,High,Low,56,Moderate,28.476887,77.505969
10-07-2025,Thursday,17:48,Other,Poor,Low,Low,62,Unsafe,28.46848,77.50225
01-07-2025,Tuesday,01:52,Harassment,Good,Medium,High,48,Moderate,28.476734,77.508857
22-04-2025,Tuesday,04:22,Theft,Poor,High,High,51,Moderate,28.466203,77.487888
01-09-2025,Monday,08:25,Harassment,Moderate,Low,Medium,56,Moderate,28.464556,77.505397
15-01-2026,Thursday,09:00,Other,Good,Low,Low,49,Moderate,28.464742,77.502259
08-08-2025,Friday,13:31,Theft,Moderate,Medium,Medium,44,Moderate,28.464942,77.504325
25-02-2026,Wednesday,10:48,Harassment,Moderate,Low,Low,62,Unsafe,28.476907,77.496585
03-07-2025,Thursday,12:13,Theft,Moderate,Low,Low,58,Moderate,28.461812,77.489678
09-04-2025,Wednesday,19:51,Burglary,Moderate,Medium,High,55,Moderate,28.472525,77.499064
05-03-2026,Thursday,00:56,Burglary,Poor,Medium,Medium,71,Unsafe,28.455691,77.486761
30-12-2025,Tuesday,19:34,Robbery,Moderate,High,Low,61,Unsafe,28.46488,77.508517
29-05-2025,Thursday,06:13,Harassment,Moderate,Low,High,52,Moderate,28.474896,77.493969
30-12-2025,Tuesday,05:42,Harassment,Good,Low,Low,66,Unsafe,28.469334,77.508596
18-04-2025,Friday,19:09,Theft,Moderate,Low,High,53,Moderate,28.471871,77.49358
30-06-2025,Monday,17:32,Harassment,Good,Medium,Medium,42,Moderate,28.4798,77.49551
04-06-2025,Wednesday,20:45,Harassment,Moderate,High,Medium,47,Moderate,28.460993,77.492381
29-12-2025,Monday,02:05,Other,Poor,Low,High,62,Unsafe,28.468332,77.508828
20-06-2025,Friday,06:45,Harassment,Moderate,Medium,Medium,48,Moderate,28.463591,77.509126
22-07-2025,Tuesday,11:22,Assault,Good,High,Low,55,Moderate,28.464578,77.490866
22-09-2025,Monday,04:11,Robbery,Good,Medium,Low,66,Unsafe,28.479083,77.511601
22-03-2026,Sunday,00:42,Theft,Poor,High,High,51,Moderate,28.469402,77.499489
22-05-2025,Thursday,10:28,Burglary,Poor,Medium,Medium,61,Unsafe,28.458478,77.492251
11-07-2025,Friday,00:04,Robbery,Moderate,Medium,Medium,66,Unsafe,28.472292,77.497872
31-05-2025,Saturday,20:53,Harassment,Good,Medium,Medium,47,Moderate,28.470649,77.48626
19-02-2026,Thursday,18:53,Harassment,Moderate,Low,High,52,Moderate,28.461889,77.509199
31-07-2025,Thursday,04:48,Burglary,Moderate,High,Medium,58,Moderate,28.462124,77.490729
08-03-2026,Sunday,05:10,Harassment,Good,Low,High,56,Moderate,28.472445,77.510511
12-04-2025,Saturday,21:47,Other,Moderate,Low,Low,60,Moderate,28.46043,77.514847
26-08-2025,Tuesday,21:34,Harassment,Good,Low,Medium,55,Moderate,28.456603,77.504993
28-10-2025,Tuesday,17:14,Burglary,Good,Medium,Medium,48,Moderate,28.479025,77.509694
07-02-2026,Saturday,21:26,Robbery,Poor,Medium,Low,74,Unsafe,28.477964,77.511348
30-03-2026,Monday,06:36,Theft,Poor,High,High,41,Moderate,28.470783,77.497717
11-06-2025,Wednesday,18:09,Assault,Moderate,High,Medium,55,Moderate,28.469123,77.503043
17-03-2026,Tuesday,19:36,Assault,Poor,Low,Low,87,Unsafe,28.478411,77.504252
